# Excluded regions file: 
# hipparcos stars brighter than 5th magnitude:
# -------------------------

# Shapes: BOX or SEGMENT
# types: ON, OFF or EX
# Sys: RADEC or GAL 
# BOX Geometry: width  length
# SEGMENT Geometry: r1 r2 phi1 phi1

#==========================================================================
# Shape Type Sys lambda   beta         Name             Geometry...
#==========================================================================

SEGMENT EX RADEC  305.25307  -14.78138       HIP_100345 0. 0.2 0. 360.
SEGMENT EX RADEC  305.55735   40.25671       HIP_100453 0. 0.2 0. 360.
SEGMENT EX RADEC   32.38597   34.98733        HIP_10064 0. 0.2 0. 360.
SEGMENT EX RADEC  306.41217  -56.73514       HIP_100751 0. 0.2 0. 360.
SEGMENT EX RADEC  308.30347   11.30327       HIP_101421 0. 0.2 0. 360.
SEGMENT EX RADEC  309.90979   15.91209       HIP_101958 0. 0.2 0. 360.
SEGMENT EX RADEC  310.35824   45.28038       HIP_102098 0. 0.2 0. 360.
SEGMENT EX RADEC  311.23982  -66.20327       HIP_102395 0. 0.2 0. 360.
SEGMENT EX RADEC  311.55311   33.97028       HIP_102488 0. 0.2 0. 360.
SEGMENT EX RADEC  311.91923   -9.49578       HIP_102618 0. 0.2 0. 360.
SEGMENT EX RADEC  314.29367   41.16717       HIP_103413 0. 0.2 0. 360.
SEGMENT EX RADEC  319.64515   62.58563       HIP_105199 0. 0.2 0. 360.
SEGMENT EX RADEC   34.12747  -51.51221        HIP_10602 0. 0.2 0. 360.
SEGMENT EX RADEC  322.16526   70.56078       HIP_106032 0. 0.2 0. 360.
SEGMENT EX RADEC  322.89000   -5.57118       HIP_106278 0. 0.2 0. 360.
SEGMENT EX RADEC    3.30897   15.18361         HIP_1067 0. 0.2 0. 360.
SEGMENT EX RADEC  326.04677    9.87502       HIP_107315 0. 0.2 0. 360.
SEGMENT EX RADEC  326.76046  -16.12730       HIP_107556 0. 0.2 0. 360.
SEGMENT EX RADEC  328.48246  -37.36488       HIP_108085 0. 0.2 0. 360.
SEGMENT EX RADEC  331.44626   -0.31985       HIP_109074 0. 0.2 0. 360.
